S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-12-29,34,696.00,842596.00,1227.00,1205.00,1227.00
2,2021-12-28,48,1322.00,1575896.80,1227.00,1180.10,1227.00
3,2021-12-27,45,1023.00,1256329.00,1285.20,1204.00,1204.00
4,2021-12-26,43,2051.00,2510045.00,1239.80,1194.20,1238.80
5,2021-12-23,41,1153.00,1390142.00,1221.00,1181.10,1200.00
6,2021-12-22,45,1929.00,2303884.60,1215.80,1170.00,1200.00
7,2021-12-21,38,1325.00,1499667.00,1149.00,1110.00,1148.00
8,2021-12-20,27,470.00,535034.50,1156.00,1125.00,1125.00
9,2021-12-16,22,595.00,687827.00,1165.00,1143.50,1156.00
10,2021-12-15,44,1547.00,1857922.00,1240.00,1165.00,1165.00
11,2021-12-14,22,518.00,610180.00,1199.00,1100.00,1199.00
12,2021-12-13,51,1827.00,2044369.00,1183.00,1077.00,1101.10
13,2021-12-12,26,465.00,554086.00,1220.00,1182.20,1183.00
14,2021-12-09,34,780.00,960028.00,1242.00,1217.20,1241.90
15,2021-12-08,33,1474.00,1893999.00,1300.00,1265.00,1267.00
16,2021-12-07,33,1053.00,1402565.90,1352.00,1312.00,1312.00
17,2021-12-06,60,1550.00,1992907.10,1326.00,1221.00,1326.00
18,2021-12-05,63,1799.00,2338800.00,1330.00,1280.00,1290.00
19,2021-12-02,45,1594.00,2117891.00,1350.00,1320.00,1330.00
20,2021-12-01,14,200.00,272485.00,1375.00,1360.00,1362.00
21,2021-11-30,26,911.00,1242330.00,1386.00,1333.00,1381.00
22,2021-11-29,37,1861.00,2514906.00,1385.00,1340.10,1360.00
23,2021-11-28,47,1014.00,1384905.00,1398.00,1347.00,1360.00
24,2021-11-25,38,768.00,1080251.00,1453.00,1396.50,1400.00
25,2021-11-24,61,2059.00,2892455.10,1425.00,1400.00,1424.90
26,2021-11-23,24,783.00,1108945.00,1422.00,1405.10,1411.00
27,2021-11-22,39,965.00,1369285.50,1430.00,1405.00,1430.00
28,2021-11-21,32,570.00,812841.50,1432.00,1415.00,1421.00
29,2021-11-18,37,1321.00,1905442.00,1510.00,1414.00,1431.00
30,2021-11-17,50,2445.00,3542107.20,1490.00,1433.00,1453.90
31,2021-11-16,45,1102.00,1595039.20,1476.00,1425.00,1438.10
32,2021-11-15,40,2338.00,3361312.00,1448.00,1424.10,1448.00
33,2021-11-14,34,1080.00,1544632.00,1470.00,1418.20,1430.00
34,2021-11-11,59,1437.00,2040112.70,1494.00,1380.00,1445.00
35,2021-11-09,74,2826.00,4157614.80,1570.00,1450.40,1465.00
36,2021-11-08,41,1528.00,2390780.00,1589.00,1540.00,1540.00
37,2021-11-03,37,2440.00,3852010.70,1630.00,1575.00,1575.10
38,2021-11-02,34,1442.00,2292064.00,1600.00,1568.00,1600.00
39,2021-11-01,105,4947.00,7870184.60,1660.00,1515.00,1620.00
40,2021-10-31,153,7264.00,11509178.90,1636.00,1510.00,1636.00
41,2021-10-28,49,1481.00,2248177.00,1540.00,1501.00,1525.00
42,2021-10-27,60,2262.00,3436652.00,1540.00,1494.50,1502.00
43,2021-10-26,71,2116.00,3204586.00,1574.00,1490.00,1542.60
44,2021-10-25,55,3358.00,5025641.00,1554.20,1439.00,1519.00
45,2021-10-24,38,723.00,1021995.00,1428.00,1395.00,1428.00
46,2021-10-21,23,736.00,1028988.50,1405.00,1381.00,1396.10
47,2021-10-20,32,998.00,1403355.00,1420.00,1374.00,1399.00
48,2021-10-19,63,2773.00,3814206.60,1418.00,1360.00,1375.00
49,2021-10-18,50,1634.00,2358438.00,1475.00,1425.00,1440.00
50,2021-10-17,25,541.00,799839.50,1500.00,1460.10,1490.00
51,2021-10-11,42,1391.00,1983202.10,1457.00,1410.00,1448.00
52,2021-10-10,58,1887.00,2867364.00,1565.00,1470.00,1485.00
53,2021-10-06,125,5858.00,8950137.50,1549.00,1466.90,1535.00
54,2021-10-05,72,2016.00,2872582.80,1440.00,1410.00,1438.90
55,2021-10-04,53,1324.00,1822825.00,1395.00,1326.00,1385.00
56,2021-10-03,30,792.00,1068391.60,1365.00,1335.10,1351.00
57,2021-09-30,60,2923.00,3992744.90,1400.00,1350.00,1355.00
58,2021-09-29,59,1429.00,1918088.00,1387.20,1310.00,1349.00
59,2021-09-28,52,1611.00,2157029.00,1356.00,1323.10,1329.00
60,2021-09-27,51,1740.00,2363360.00,1400.00,1350.00,1357.00
61,2021-09-26,51,2435.00,3436715.00,1430.60,1397.00,1397.00
62,2021-09-23,63,2128.00,3126068.10,1522.00,1423.00,1425.10
63,2021-09-22,57,1440.00,2118847.50,1490.00,1455.00,1463.00
64,2021-09-21,70,1514.00,2150535.00,1452.00,1372.00,1429.00
65,2021-09-20,90,3437.00,4993909.00,1503.00,1402.10,1427.00
66,2021-09-16,71,2298.00,3390787.00,1499.00,1470.00,1499.00
67,2021-09-15,42,855.00,1285903.50,1515.00,1500.00,1503.00
68,2021-09-14,46,1702.00,2585763.60,1548.90,1505.00,1519.00
69,2021-09-13,55,1240.00,1895695.00,1556.50,1510.00,1520.00
70,2021-09-12,67,1624.00,2463511.00,1540.00,1501.00,1526.00
71,2021-09-09,76,3672.00,5535917.00,1540.00,1500.00,1501.00
72,2021-09-08,76,2919.00,4408382.00,1529.90,1490.00,1510.00
73,2021-09-07,57,2040.00,3085034.00,1540.00,1495.00,1510.00
74,2021-09-06,84,3350.00,5120316.50,1550.00,1490.00,1540.00
75,2021-09-05,100,4265.00,6381768.00,1530.00,1484.00,1500.00
76,2021-09-02,74,3189.00,4998817.00,1613.50,1540.00,1545.00
77,2021-09-01,70,2650.00,4220975.00,1615.00,1570.00,1581.00
78,2021-08-31,94,3501.00,5540563.00,1605.00,1570.00,1580.00
79,2021-08-29,122,7040.00,11496369.50,1672.00,1612.00,1621.00
80,2021-08-26,89,2814.00,4636240.80,1672.00,1621.00,1639.00
81,2021-08-25,98,3469.00,5748022.10,1675.00,1650.00,1650.10
82,2021-08-24,102,3851.00,6443506.00,1700.00,1650.00,1663.00
83,2021-08-19,131,5752.00,9649054.40,1705.00,1653.20,1672.30
84,2021-08-18,95,2530.00,4210937.50,1675.00,1640.00,1666.00
85,2021-08-17,78,2280.00,3822036.10,1680.00,1667.00,1668.00
86,2021-08-16,122,7443.00,12633325.30,1709.90,1657.10,1692.00
87,2021-08-15,157,6338.00,10687834.30,1714.90,1650.00,1690.00
88,2021-08-12,108,4889.00,8088513.00,1670.00,1647.00,1655.00
89,2021-08-11,83,2601.00,4362610.50,1699.00,1670.00,1670.30
90,2021-08-10,137,5564.00,9349437.10,1700.00,1618.00,1684.00
91,2021-08-09,145,5028.00,8393226.50,1730.00,1651.00,1651.00
92,2021-08-08,110,5075.00,8632575.20,1729.00,1696.00,1697.00
93,2021-08-05,205,11249.00,19513217.00,1770.00,1697.40,1721.00
94,2021-08-04,409,22833.00,40417024.50,1870.00,1730.00,1732.00
95,2021-08-03,333,17950.00,31010621.00,1750.00,1690.00,1728.00
96,2021-08-02,128,5226.00,8778484.00,1698.00,1667.00,1675.10
97,2021-08-01,174,9190.00,15370626.40,1703.40,1655.00,1665.00
98,2021-07-29,130,8029.00,13475357.50,1705.00,1665.00,1670.00
99,2021-07-28,179,9621.00,16379235.70,1735.00,1681.00,1697.00
100,2021-07-27,259,10109.00,17011187.00,1708.00,1648.00,1690.00
101,2021-07-26,262,10572.00,18266095.00,1745.00,1700.00,1731.00
102,2021-07-25,318,20928.00,35091536.50,1734.00,1630.00,1734.00
103,2021-07-22,99,3876.00,6331459.60,1650.00,1621.00,1642.00
104,2021-07-20,73,2144.00,3515505.00,1683.00,1630.00,1645.00
105,2021-07-19,127,5609.00,9250088.80,1670.00,1607.00,1650.00
106,2021-07-18,173,5852.00,9471175.00,1635.00,1600.00,1630.00
107,2021-07-15,46,890.00,1397080.00,1580.00,1551.00,1574.00
108,2021-07-14,57,1983.00,3083570.00,1580.00,1530.00,1569.00
109,2021-07-13,51,1558.00,2436251.00,1575.00,1539.00,1552.00
110,2021-07-12,78,2946.00,4606381.00,1600.00,1539.00,1539.00
111,2021-07-11,75,2522.00,3933167.00,1582.00,1541.00,1570.00
112,2021-07-08,79,1734.00,2631054.00,1540.00,1490.00,1522.00
113,2021-07-07,96,3199.00,4832829.00,1541.00,1481.00,1500.00
114,2021-07-06,48,1215.00,1828485.00,1529.00,1500.00,1510.00
115,2021-07-05,78,4028.00,6107817.00,1530.00,1510.00,1516.00
116,2021-07-04,61,1586.00,2424810.00,1545.00,1515.00,1530.00
117,2021-07-01,64,1206.00,1851107.00,1560.00,1526.00,1531.00
118,2021-06-30,63,1843.00,2807356.00,1545.00,1515.00,1530.00
119,2021-06-29,123,5281.00,8321930.00,1610.00,1540.00,1541.00
120,2021-06-28,149,4564.00,7031606.00,1573.00,1476.00,1540.00
121,2021-06-27,98,1930.00,2866049.00,1495.00,1472.00,1485.00
122,2021-06-24,101,2946.00,4384921.00,1515.00,1480.00,1492.00
123,2021-06-23,97,3715.00,5630560.00,1540.00,1501.00,1513.00
124,2021-06-22,149,6308.00,9655976.00,1560.00,1520.00,1530.00
